Country,Border_status_tourist,Border_status_resident
Austria,Restrictions,Open
Belgium,Restrictions,Restrictions
Bulgaria,Restrictions,Open
Chile,Closed,Open
Croatia,Restrictions,Open
Cyprus,Closed,Restrictions
Czechia,Restrictions,Open
Denmark,Restrictions,Open
Estonia,Restrictions,Open
Finland,Closed,Open
France,Restrictions,Open
Germany,Restrictions,Open
Hungary,Restrictions,Open
Iceland,Restrictions,Open
Ireland,Open,Open
Italy,Closed,Open
Latvia,Restrictions,Open
Liechtenstein,Restrictions,Open
Lithuania,Restrictions,Open
Luxembourg,Restrictions,Open
Malta,Closed,Restrictions
Netherlands,Restrictions,Open
Poland,Closed,Open
Portugal,Restrictions,Restrictions
Romania,Restrictions,Open
Slovakia,Closed,Restrictions
Slovenia,Open,Open
Spain,Restrictions,Open
Sweden,Restrictions,Open
Switzerland,Restrictions,Restrictions
United States,Restrictions,Open
Uruguay,Closed,Restrictions
